card_number,country_code,merchant,amount,mcc
card_365,USA,Apple,411.44,Technology
card_104,USA,CVS Health,314.43,Retail
card_253,USA,Bed Bath & Beyond,328.56,Retail
card_331,SGP,Singapore Airlines,1107.93,Travel
card_462,USA,Dominos Pizza,194.89,Restaurants
card_153,USA,Wayfair,44.92,E-commerce
card_319,USA,H&M,474.85,Retail
card_382,USA,Lowes,124.0,Retail
card_363,DEU,Lufthansa,1084.2,Travel
card_174,USA,Five Guys,230.63,Restaurants
card_325,USA,Nordstrom,563.47,Retail
card_298,USA,Williams-Sonoma,772.11,Retail
card_83,USA,General Motors,2519.6,Automotive
card_369,USA,Chipotle,161.59,Restaurants
card_44,GBR,BP,102.68,Energy
card_57,USA,Tesla,224.55,Automotive
card_58,USA,Dominos Pizza,41.29,Restaurants
card_200,USA,AMC Theatres,6.41,Streaming
card_237,USA,Nordstrom,638.23,Retail
card_245,USA,Google,1640.34,Technology
card_189,USA,Starbucks,157.49,Restaurants
card_188,USA,Shell,184.29,Energy
card_158,USA,TJX Companies,253.05,Retail
card_136,USA,Target,129.01,Groceries
card_212,USA,TJX Companies,756.77,Retail
card_403,USA,Walgreens,232.65,Retail
card_247,USA,Pizza Hut,32.32,Restaurants
card_52,USA,Bloomingdales,293.3,Retail
card_19,USA,Williams-Sonoma,165.42,Retail
card_416,USA,Starbucks,279.61,Restaurants
card_278,USA,Uniqlo,809.08,Retail
card_497,USA,Walgreens,635.24,Retail
card_396,USA,Panera Bread,262.72,Restaurants
card_127,USA,Dominos Pizza,243.06,Restaurants
card_251,USA,Dunkin,64.11,Restaurants
card_432,USA,Lowes,893.1,Retail
card_21,USA,Bloomingdales,541.65,Retail
card_193,USA,Tesla,4056.46,Automotive
card_143,USA,AT&T,896.61,Telecom
card_361,USA,Walmart,102.22,Groceries
card_336,USA,Chick-fil-A,41.92,Restaurants
card_207,USA,Uber,231.8,Retail
card_302,USA,InterContinental Hotels,669.31,Hotels
card_61,USA,Amazon,41.81,E-commerce
card_126,FRA,Air France-KLM,1298.06,Travel
card_209,USA,Ford,134.07,Automotive
card_71,USA,InterContinental Hotels,790.58,Hotels
card_297,USA,eBay,23.78,E-commerce
card_363,USA,Comcast,226.0,Telecom
card_215,USA,Chevron,50.38,Energy
card_435,USA,ExxonMobil,87.39,Energy
card_352,USA,Safeway,283.44,Groceries
card_236,USA,Comcast,326.59,Telecom
card_45,USA,Comcast,521.2,Telecom
card_132,USA,Five Guys,213.88,Restaurants
card_279,USA,Macys,366.81,Retail
card_98,USA,Neiman Marcus,971.92,Retail
card_228,USA,Dunkin,289.11,Restaurants
card_107,USA,McDonalds,83.02,Restaurants
card_414,USA,Chipotle,154.2,Restaurants
card_120,USA,Nike,304.37,Retail
card_454,USA,Shopify,17.82,E-commerce
card_494,FRA,Carrefour,20.7,Groceries
card_303,USA,Delta Air Lines,933.87,Travel
card_396,USA,Walmart,155.78,Groceries
card_498,USA,Williams-Sonoma,56.22,Retail
card_425,USA,Subway,90.81,Restaurants
card_414,USA,TJX Companies,908.72,Retail
card_81,USA,Walgreens,243.36,Retail
card_352,USA,United Airlines,260.1,Travel
card_121,USA,Saks Fifth Avenue,492.01,Retail
card_134,DEU,Aldi,295.84,Groceries
card_417,USA,Hilton,400.98,Hotels
card_61,USA,Charter Communications,673.77,Telecom
card_371,GBR,British Airways,1154.35,Travel
card_460,USA,Five Guys,78.91,Restaurants
card_403,USA,Chipotle,221.18,Restaurants
card_406,USA,Walgreens,370.94,Retail
card_323,USA,Lowes,634.14,Retail
card_33,USA,Lowes,635.36,Retail
card_372,USA,Wendys,165.37,Restaurants
card_214,USA,Taco Bell,36.18,Restaurants
card_455,USA,McDonalds,252.24,Restaurants
card_492,USA,Google,1671.82,Technology
card_176,USA,The Home Depot,190.59,Retail
card_278,USA,Best Buy,45.57,Retail
card_295,USA,Etsy,31.59,E-commerce
card_455,USA,Chevron,145.19,Energy
card_369,USA,Gap Inc,21.5,Retail
card_418,USA,TJX Companies,514.53,Retail
card_363,DEU,Lufthansa,378.42,Travel
card_302,USA,PayPal,3261.35,Technology
card_252,USA,McDonalds,60.57,Restaurants
card_81,USA,Delta Air Lines,1051.86,Travel
card_478,FRA,Carrefour,122.15,Groceries
card_211,USA,Bed Bath & Beyond,937.05,Retail
card_260,USA,Walgreens,141.83,Retail
card_369,USA,United Airlines,544.55,Travel
card_73,USA,Panera Bread,42.91,Restaurants
card_136,USA,Kohls,925.07,Retail
card_186,USA,Expedia,1322.14,Hotels
card_121,USA,Airbnb,424.02,Hotels
card_41,USA,KFC,201.4,Restaurants
card_128,USA,KFC,246.99,Restaurants
card_318,USA,CVS Health,557.42,Retail
card_129,USA,Delta Air Lines,817.99,Travel
card_330,DEU,Aldi,80.14,Groceries
card_159,USA,Spotify,9.19,Streaming
card_130,DEU,Lufthansa,1350.96,Travel
card_90,USA,Shell,183.07,Energy
card_153,USA,Burger King,193.6,Restaurants
card_391,USA,Lowes,342.33,Retail
card_157,USA,United Airlines,556.35,Travel
card_133,HKG,Cathay Pacific,1102.64,Travel
card_408,USA,InterContinental Hotels,1350.81,Hotels
card_250,USA,Ford,4446.72,Automotive
card_245,USA,Nordstrom,780.98,Retail
card_20,USA,Whole Foods,196.19,Groceries
card_28,USA,Hyatt,172.0,Hotels
card_419,USA,Taco Bell,56.87,Restaurants
card_201,USA,Panera Bread,270.58,Restaurants
card_184,USA,IKEA,608.4,Retail
card_75,USA,Lowes,14.15,Retail
card_165,USA,General Motors,597.21,Automotive
card_201,USA,Ross Stores,665.18,Retail
card_301,USA,KFC,11.47,Restaurants
card_51,USA,Ross Stores,165.0,Retail
card_168,GBR,Tesco,169.13,Groceries
card_338,HKG,Cathay Pacific,1053.25,Travel
card_290,JPN,Toyota,3294.61,Automotive
card_474,USA,T-Mobile,228.15,Telecom
card_24,USA,Zara,713.62,Retail
card_451,USA,Kroger,78.8,Groceries
card_424,USA,Booking.com,521.83,Hotels
card_176,USA,Neiman Marcus,747.76,Retail
card_318,USA,AT&T,651.38,Telecom
card_398,USA,Wayfair,43.22,E-commerce
card_47,USA,McDonalds,200.71,Restaurants
card_101,USA,Regal Cinemas,30.57,Streaming
card_144,USA,Trader Joes,37.17,Groceries
card_431,USA,General Motors,1901.81,Automotive
card_243,USA,Verizon,268.88,Telecom
card_271,USA,Chick-fil-A,80.76,Restaurants
card_218,USA,Hilton,1460.87,Hotels
card_281,USA,Bloomingdales,396.13,Retail
card_89,USA,InterContinental Hotels,1343.47,Hotels
card_416,JPN,Toyota,3192.58,Automotive
card_154,USA,United Airlines,1202.48,Travel
card_33,USA,Best Buy,505.12,Retail
card_163,USA,Uniqlo,579.02,Retail
card_279,USA,Panera Bread,152.83,Restaurants
card_174,GBR,BP,63.19,Energy
card_268,USA,Charter Communications,723.84,Telecom
card_51,USA,Lululemon,284.37,Retail
card_95,USA,Etsy,6.09,E-commerce
card_458,USA,Charter Communications,647.24,Telecom
card_279,USA,CVS Health,181.23,Retail
card_410,USA,Charter Communications,940.76,Telecom
card_345,DEU,Lidl,286.64,Groceries
card_354,USA,TJX Companies,915.29,Retail
card_397,USA,American Airlines,586.73,Travel
card_174,USA,Lowes,20.38,Retail
card_13,USA,eBay,46.77,E-commerce
card_17,GBR,BP,102.79,Energy
card_271,USA,Bloomingdales,966.82,Retail
card_168,USA,Dominos Pizza,289.45,Restaurants
card_144,USA,Ross Stores,853.74,Retail
card_149,USA,Panera Bread,95.39,Restaurants
card_395,USA,Neiman Marcus,388.17,Retail
card_338,USA,eBay,43.3,E-commerce
card_235,USA,United Airlines,509.54,Travel
card_70,USA,Adidas,173.65,Retail
card_150,USA,Chevron,124.66,Energy
card_399,USA,H&M,936.47,Retail
card_389,USA,AMC Theatres,36.32,Streaming
card_54,USA,Papa Johns,175.32,Restaurants
card_41,USA,American Airlines,190.91,Travel
card_366,USA,IKEA,616.93,Retail
card_134,USA,Universal Parks,49.55,Streaming
card_199,USA,The Home Depot,144.38,Retail
card_291,USA,Hyatt,801.58,Hotels
card_381,USA,Best Buy,877.99,Retail
card_315,USA,Ford,3729.77,Automotive
card_243,GBR,British Airways,1060.67,Travel
card_292,USA,Wendys,213.72,Restaurants
card_10,USA,Papa Johns,114.25,Restaurants
card_14,USA,Verizon,297.12,Telecom
card_430,USA,Walmart,244.71,Groceries
card_264,USA,Universal Parks,41.46,Streaming
card_197,USA,United Airlines,1307.25,Travel
card_129,USA,Comcast,913.67,Telecom
card_208,USA,Subway,158.29,Restaurants
card_162,USA,TJX Companies,504.01,Retail
card_326,USA,Burger King,241.51,Restaurants
card_34,USA,T-Mobile,651.71,Telecom
card_78,USA,Five Guys,213.57,Restaurants
card_266,USA,Subway,240.78,Restaurants
card_73,USA,Costco,268.1,Groceries
card_391,USA,eBay,20.21,E-commerce
card_487,SGP,Singapore Airlines,594.6,Travel
card_279,USA,Wendys,37.25,Restaurants
card_307,USA,Best Buy,580.39,Retail
card_188,USA,Spotify,6.62,Streaming
card_160,DEU,Aldi,145.02,Groceries
card_191,USA,Regal Cinemas,29.42,Streaming
card_403,USA,Panera Bread,93.1,Restaurants
card_284,USA,United Airlines,906.71,Travel
card_304,USA,Kohls,35.35,Retail
card_180,USA,IKEA,42.16,Retail
card_186,USA,AT&T,823.49,Telecom
card_127,USA,Lowes,363.39,Retail
card_239,USA,Gap Inc,131.43,Retail
card_245,USA,Papa Johns,161.45,Restaurants
card_310,USA,Nike,771.14,Retail
card_495,USA,Adidas,219.74,Retail
card_49,USA,Taco Bell,190.64,Restaurants
card_400,USA,H&M,89.92,Retail
card_83,USA,ExxonMobil,38.79,Energy
card_69,USA,McDonalds,164.09,Restaurants
card_459,HKG,Cathay Pacific,833.92,Travel
card_223,USA,Lowes,639.24,Retail
card_103,USA,Whole Foods,220.57,Groceries
card_326,USA,Bed Bath & Beyond,975.97,Retail
card_285,USA,Lowes,518.72,Retail
card_326,USA,Chipotle,103.66,Restaurants
card_452,USA,KFC,240.6,Restaurants
card_325,ARE,Emirates,442.71,Travel
card_128,USA,Etsy,24.75,E-commerce
card_324,USA,T-Mobile,83.06,Telecom
card_83,USA,Charter Communications,30.22,Telecom
card_113,USA,Panera Bread,289.17,Restaurants
card_499,USA,Airbnb,1262.17,Hotels
card_386,USA,Saks Fifth Avenue,697.49,Retail
card_422,USA,Hyatt,642.98,Hotels
card_338,USA,CVS Health,177.43,Retail
card_192,ARE,Emirates,276.83,Travel
card_206,USA,Walmart,82.57,Groceries
card_358,USA,Southwest Airlines,846.38,Travel
card_81,USA,The Home Depot,716.02,Retail
card_396,DEU,Aldi,201.46,Groceries
card_298,DEU,Lufthansa,455.9,Travel
card_261,USA,Subway,286.91,Restaurants
card_305,FRA,Carrefour,223.99,Groceries
card_62,USA,Lowes,556.58,Retail
card_175,USA,McDonalds,187.4,Restaurants
card_387,USA,Nordstrom,422.5,Retail
card_330,USA,H&M,251.49,Retail
card_338,DEU,Aldi,113.23,Groceries
card_53,USA,Neiman Marcus,759.06,Retail
card_423,DEU,Aldi,14.17,Groceries
card_120,GBR,BP,49.73,Energy
card_321,USA,Uniqlo,50.77,Retail
card_424,USA,Papa Johns,21.81,Restaurants
card_69,USA,Gap Inc,856.18,Retail
card_69,USA,Comcast,705.14,Telecom
card_279,USA,Microsoft,2423.45,Technology
card_99,GBR,Tesco,38.37,Groceries
card_71,USA,Five Guys,152.57,Restaurants
card_117,USA,Target,147.31,Groceries
card_306,USA,Amazon,12.79,E-commerce
card_161,GBR,British Airways,679.08,Travel
card_95,USA,United Airlines,627.83,Travel
card_147,USA,Nike,617.77,Retail
card_369,USA,Apple,3211.96,Technology
card_386,USA,Bed Bath & Beyond,50.08,Retail
card_12,USA,Lululemon,377.74,Retail
card_206,USA,Marriott International,957.5,Hotels
card_274,USA,PayPal,2565.37,Technology
card_332,FRA,Air France-KLM,1291.91,Travel
card_156,USA,Shake Shack,201.02,Restaurants
card_141,FRA,Air France-KLM,286.25,Travel
card_14,USA,Publix,30.46,Groceries
card_258,USA,Gap Inc,644.21,Retail
card_369,USA,General Motors,229.91,Automotive
card_166,USA,Publix,179.87,Groceries
card_287,USA,Gap Inc,940.53,Retail
card_146,USA,PayPal,2919.82,Technology
card_462,USA,Lowes,391.23,Retail
card_238,USA,Walmart,196.55,Groceries
card_155,USA,AT&T,460.96,Telecom
card_136,DEU,Aldi,168.23,Groceries
card_195,USA,Expedia,1415.12,Hotels
card_279,USA,Pizza Hut,121.97,Restaurants
card_56,USA,Zara,961.38,Retail
card_46,GBR,Tesco,272.55,Groceries
card_312,USA,Comcast,199.81,Telecom
card_162,USA,Chevron,41.79,Energy
card_268,USA,Airbnb,196.13,Hotels
card_77,USA,Kroger,15.28,Groceries
card_36,SGP,Singapore Airlines,186.94,Travel
card_20,USA,Uniqlo,684.59,Retail
card_85,USA,Safeway,30.64,Groceries
card_160,USA,Uniqlo,322.38,Retail
card_327,USA,The Home Depot,845.65,Retail
card_244,USA,The Home Depot,28.16,Retail
card_209,USA,Zara,815.4,Retail
card_492,USA,H&M,285.45,Retail
card_41,USA,Pizza Hut,44.27,Restaurants
card_15,USA,Lowes,698.25,Retail
card_13,USA,InterContinental Hotels,961.97,Hotels
card_61,USA,Starbucks,264.47,Restaurants
card_446,SGP,Singapore Airlines,1115.85,Travel
card_50,JPN,Toyota,4037.06,Automotive
card_425,USA,Uber,285.62,Retail
card_197,USA,Bed Bath & Beyond,181.55,Retail
card_445,USA,Etsy,38.78,E-commerce
card_86,USA,T-Mobile,807.8,Telecom
card_152,USA,Best Buy,990.55,Retail
card_434,USA,AMC Theatres,23.57,Streaming
card_406,USA,CVS Health,375.16,Retail
card_255,DEU,Lidl,235.16,Groceries
card_288,JPN,Toyota,1769.94,Automotive
card_78,USA,Ross Stores,931.1,Retail
card_322,USA,Hyatt,1294.7,Hotels
card_372,USA,Trader Joes,134.41,Groceries
card_33,USA,Panera Bread,227.75,Restaurants
card_472,USA,Uniqlo,755.77,Retail
card_63,USA,Ticketmaster,107.61,Ticketing
card_299,USA,Hilton,1358.7,Hotels
card_389,USA,Starbucks,156.52,Restaurants
card_374,FRA,Carrefour,249.67,Groceries
card_196,USA,Comcast,323.45,Telecom
card_416,USA,Ross Stores,896.05,Retail
card_1,USA,Lululemon,392.26,Retail
card_96,USA,Five Guys,13.14,Restaurants
card_442,USA,Charter Communications,905.86,Telecom
card_59,USA,Nordstrom,95.83,Retail
card_485,USA,Verizon,322.72,Telecom
card_455,USA,Chick-fil-A,285.52,Restaurants
card_468,HKG,Cathay Pacific,1428.38,Travel
card_170,USA,Tesla,2909.85,Automotive
card_401,USA,McDonalds,193.23,Restaurants
card_335,USA,Ross Stores,451.2,Retail
card_413,USA,Saks Fifth Avenue,296.74,Retail
card_134,USA,CVS Health,332.02,Retail
card_168,DEU,Lidl,205.03,Groceries
card_425,USA,McDonalds,228.19,Restaurants
card_125,USA,Ross Stores,792.62,Retail
card_407,JPN,Toyota,3969.13,Automotive
card_259,USA,Papa Johns,36.45,Restaurants
card_5,USA,Trader Joes,153.38,Groceries
card_174,USA,T-Mobile,62.27,Telecom
card_52,USA,H&M,551.78,Retail
card_487,USA,Hyatt,690.22,Hotels
card_8,USA,Trader Joes,267.43,Groceries
card_444,USA,Whole Foods,111.77,Groceries
card_389,USA,Adidas,121.48,Retail
card_277,USA,AT&T,147.28,Telecom
card_180,USA,Dunkin,230.84,Restaurants
card_167,USA,Shopify,32.82,E-commerce
card_38,USA,Target,39.33,Groceries
card_102,USA,Expedia,171.95,Hotels
card_277,USA,Etsy,36.54,E-commerce
card_384,USA,Pizza Hut,31.1,Restaurants
card_86,HKG,Cathay Pacific,1241.7,Travel
card_209,USA,Shell,150.06,Energy
card_336,USA,Disney,8.66,Streaming
card_394,USA,Panera Bread,34.6,Restaurants
card_492,USA,Bed Bath & Beyond,986.71,Retail
card_468,USA,American Airlines,592.69,Travel
card_240,USA,Wayfair,21.68,E-commerce
card_41,USA,Taco Bell,245.71,Restaurants
card_32,USA,Costco,284.7,Groceries
card_12,SGP,Singapore Airlines,1479.7,Travel
card_361,USA,Taco Bell,228.48,Restaurants
card_413,USA,Disney,21.93,Streaming
card_102,USA,AT&T,88.08,Telecom
card_393,USA,Disney,39.97,Streaming
card_499,USA,American Airlines,859.69,Travel
card_311,USA,AT&T,427.1,Telecom
card_268,USA,United Airlines,1364.21,Travel
card_485,USA,Uber,115.64,Retail
card_22,USA,Lowes,495.16,Retail
card_328,USA,Kroger,13.29,Groceries
card_145,USA,Kroger,145.91,Groceries
card_112,USA,ExxonMobil,39.57,Energy
card_226,USA,American Airlines,222.29,Travel
card_188,USA,Lululemon,121.94,Retail
card_117,USA,Five Guys,198.27,Restaurants
card_285,USA,TJX Companies,747.31,Retail
card_374,USA,KFC,179.18,Restaurants
card_216,USA,Nike,962.36,Retail
card_106,USA,CVS Health,378.0,Retail
card_347,USA,eBay,17.86,E-commerce
card_186,JPN,Toyota,4356.14,Automotive
card_355,USA,Chipotle,74.84,Restaurants
card_194,USA,Bed Bath & Beyond,963.41,Retail
card_394,USA,Safeway,13.52,Groceries
card_287,USA,Bed Bath & Beyond,970.03,Retail
card_354,DEU,Lufthansa,112.58,Travel
card_35,USA,Regal Cinemas,45.1,Streaming
card_489,FRA,Air France-KLM,815.17,Travel
card_415,USA,Walmart,297.96,Groceries
card_439,HKG,Cathay Pacific,157.01,Travel
card_165,USA,Costco,170.62,Groceries
card_413,USA,Neiman Marcus,969.46,Retail
card_352,USA,Shopify,28.54,E-commerce
card_15,USA,KFC,192.53,Restaurants
card_38,USA,Spotify,36.31,Streaming
card_86,USA,Charter Communications,457.27,Telecom
card_242,USA,KFC,191.99,Restaurants
card_152,USA,Shopify,31.29,E-commerce
card_46,USA,Shake Shack,271.34,Restaurants
card_480,USA,T-Mobile,50.22,Telecom
card_428,USA,American Airlines,457.4,Travel
card_221,HKG,Cathay Pacific,1428.1,Travel
card_407,FRA,Carrefour,268.18,Groceries
card_264,USA,Charter Communications,458.38,Telecom
card_417,USA,PayPal,3138.65,Technology
card_154,USA,Amazon,17.48,E-commerce
card_237,GBR,Tesco,64.56,Groceries
card_296,USA,Safeway,144.47,Groceries
card_2,USA,Chipotle,112.47,Restaurants
card_22,USA,Saks Fifth Avenue,585.74,Retail
card_30,USA,Ross Stores,82.35,Retail
card_11,USA,Marriott International,1462.87,Hotels
card_47,USA,Macys,986.28,Retail
card_149,USA,Dominos Pizza,212.47,Restaurants
card_43,USA,KFC,165.47,Restaurants
card_387,USA,Kohls,312.98,Retail
card_358,USA,Google,4087.6,Technology
card_363,USA,Kohls,686.31,Retail
card_256,HKG,Cathay Pacific,285.79,Travel
card_375,USA,Dominos Pizza,274.17,Restaurants
card_190,USA,Zara,823.42,Retail
card_262,USA,AT&T,950.05,Telecom
card_40,USA,Etsy,37.66,E-commerce
card_16,USA,Verizon,615.35,Telecom
card_170,USA,Nike,421.15,Retail
card_212,USA,Booking.com,1402.46,Hotels
card_359,USA,Netflix,43.97,Streaming
card_344,GBR,Tesco,23.11,Groceries
card_419,USA,General Motors,229.2,Automotive
card_285,USA,Papa Johns,119.17,Restaurants
card_486,USA,Shake Shack,245.06,Restaurants
card_454,USA,Marriott International,1481.55,Hotels
card_181,USA,Costco,53.62,Groceries
card_397,USA,H&M,596.16,Retail
card_372,HKG,Cathay Pacific,602.29,Travel
card_33,USA,KFC,291.28,Restaurants
card_106,USA,Lululemon,842.91,Retail
card_500,FRA,Carrefour,253.12,Groceries
card_119,GBR,British Airways,729.61,Travel
card_344,USA,American Airlines,651.49,Travel
card_414,USA,Trader Joes,89.29,Groceries
card_91,USA,Hyatt,131.74,Hotels
card_428,USA,AMC Theatres,43.91,Streaming
card_387,USA,Google,4083.21,Technology
card_446,USA,Panera Bread,299.92,Restaurants
card_359,USA,Nordstrom,996.65,Retail
card_489,USA,Spotify,29.99,Streaming
card_85,DEU,Lufthansa,1165.03,Travel
card_226,USA,Neiman Marcus,945.04,Retail
card_494,USA,Spotify,43.23,Streaming
card_301,USA,Trader Joes,81.73,Groceries
card_485,USA,Delta Air Lines,703.29,Travel
card_438,USA,Whole Foods,47.46,Groceries
card_57,USA,Papa Johns,286.67,Restaurants
card_453,FRA,Air France-KLM,928.95,Travel
card_222,USA,Microsoft,1220.35,Technology
card_273,USA,Burger King,204.79,Restaurants
card_451,USA,TJX Companies,620.04,Retail
card_78,USA,Chipotle,113.87,Restaurants
card_490,USA,Amazon,10.11,E-commerce
card_221,USA,Whole Foods,204.76,Groceries
card_403,DEU,Lufthansa,804.45,Travel
card_195,USA,Marriott International,1169.86,Hotels
card_224,GBR,BP,118.43,Energy
card_145,USA,Apple,4275.69,Technology
card_187,USA,eBay,29.84,E-commerce
card_386,USA,Adidas,563.13,Retail
card_212,USA,Verizon,877.27,Telecom
card_447,USA,ExxonMobil,98.59,Energy
card_85,USA,T-Mobile,138.35,Telecom
card_469,USA,Target,18.35,Groceries
card_37,USA,Uniqlo,756.36,Retail
card_22,GBR,Tesco,189.89,Groceries
card_67,USA,CVS Health,705.56,Retail
card_113,USA,Costco,71.76,Groceries
card_15,USA,Universal Parks,11.14,Streaming
card_440,USA,Verizon,19.47,Telecom
card_361,USA,Southwest Airlines,558.35,Travel
card_110,USA,InterContinental Hotels,905.38,Hotels
card_330,USA,Taco Bell,123.75,Restaurants
card_32,USA,Verizon,440.29,Telecom
card_445,USA,Adidas,904.64,Retail
card_461,USA,General Motors,1806.45,Automotive
card_401,USA,Lowes,516.42,Retail
card_123,USA,Marriott International,1186.3,Hotels
card_70,USA,McDonalds,125.0,Restaurants
card_159,GBR,British Airways,952.03,Travel
card_91,GBR,Tesco,260.09,Groceries
card_380,USA,Dominos Pizza,285.36,Restaurants
card_128,USA,Shopify,11.62,E-commerce
card_85,USA,Southwest Airlines,1393.55,Travel
card_416,USA,Lowes,494.66,Retail
card_268,USA,Airbnb,424.45,Hotels
card_419,USA,Nordstrom,461.84,Retail
card_384,USA,Papa Johns,294.21,Restaurants
card_14,USA,eBay,27.17,E-commerce
card_454,USA,General Motors,1710.88,Automotive
card_170,USA,Williams-Sonoma,635.23,Retail
card_404,USA,McDonalds,79.64,Restaurants
card_370,USA,Tesla,471.73,Automotive
card_287,USA,Pizza Hut,47.38,Restaurants
card_40,USA,Ford,727.42,Automotive
card_418,USA,Taco Bell,54.05,Restaurants
card_79,USA,Adidas,143.13,Retail
card_352,USA,Whole Foods,195.85,Groceries
card_147,SGP,Singapore Airlines,313.73,Travel
card_58,USA,Ross Stores,348.94,Retail
card_362,USA,Uber,897.3,Retail
card_76,HKG,Cathay Pacific,737.24,Travel
card_70,USA,Regal Cinemas,35.04,Streaming
card_187,USA,Trader Joes,59.97,Groceries
card_266,USA,The Home Depot,196.33,Retail
card_238,USA,Kohls,45.66,Retail
card_436,USA,The Home Depot,173.09,Retail
card_395,USA,Dominos Pizza,90.79,Restaurants
card_378,FRA,Carrefour,61.33,Groceries
card_161,USA,H&M,93.26,Retail
card_31,USA,Ross Stores,125.03,Retail
card_376,USA,Apple,2357.82,Technology
card_327,USA,Five Guys,69.84,Restaurants
card_1,USA,Wayfair,21.39,E-commerce
card_288,USA,Verizon,505.9,Telecom
card_224,USA,Uber,691.94,Retail
card_480,USA,Chipotle,21.4,Restaurants
card_178,USA,InterContinental Hotels,1209.15,Hotels
card_261,USA,Dunkin,192.09,Restaurants
card_6,USA,H&M,86.35,Retail
card_12,USA,Dominos Pizza,263.34,Restaurants
card_43,USA,Chipotle,277.05,Restaurants
card_162,USA,Marriott International,138.56,Hotels
card_163,USA,Panera Bread,90.29,Restaurants
card_112,USA,Charter Communications,807.17,Telecom
card_307,USA,Taco Bell,227.0,Restaurants
card_396,USA,Trader Joes,63.51,Groceries
card_276,USA,Delta Air Lines,353.56,Travel
card_427,USA,Wendys,117.44,Restaurants
card_112,USA,Burger King,150.51,Restaurants
card_108,USA,InterContinental Hotels,946.47,Hotels
card_121,USA,Tesla,1907.68,Automotive
